Date,Time,open,close,high,low,open_day,close_day,high_day,low_day,rsi_daily,volume_daily,ATR_daily,AvgATR_50,slowK,slowD
1191202,2300,65.88,69.59999999999999,70.52,65.84,65.88,69.59999999999999,70.52,65.84,39.96,13659397.00,4.68,3.40,21.14,10.31
1191203,2300,74.76000000000001,73.64,76.16,73.23999999999999,74.76000000000001,73.64,76.16,73.23999999999999,49.77,24569242.00,6.56,3.47,47.59,25.22
1191204,2300,71.36,70.23999999999999,71.92,69.36,71.36,70.23999999999999,71.92,69.36,43.35,10666787.00,4.28,3.41,59.86,42.86
1191205,2300,69.16,69.31999999999999,71.52,69.04000000000001,69.16,69.31999999999999,71.52,69.04000000000001,41.78,8357776.00,2.48,3.33,56.69,54.71
1191206,2300,66.68000000000001,66.92,67.88,66.31999999999999,66.68000000000001,66.92,67.88,66.31999999999999,37.92,9803973.00,3.00,3.33,37.64,51.40
1191209,2300,67.23999999999999,70.40000000000001,70.45999999999999,66.86,67.23999999999999,70.40000000000001,70.45999999999999,66.86,45.75,9465582.00,3.60,3.27,38.10,44.14
1191210,2300,70.12,70.52,71.88,69.08,70.12,70.52,71.88,69.08,46.00,8905029.00,2.80,3.24,41.50,39.08
1191211,2300,69.76000000000001,68.88,70.16,68.44,69.76000000000001,68.88,70.16,68.44,43.05,7283262.00,2.08,3.14,47.05,42.21
1191212,2300,68.72,64.8,69.16,64.72,68.72,64.8,69.16,64.72,36.73,16067735.00,4.44,3.08,31.18,39.91
1191213,2300,65.40000000000001,62.12,66.16,62.04,65.40000000000001,62.12,66.16,62.04,33.28,18434453.00,4.12,3.02,13.18,30.47
1191216,2300,60.28,60.8,60.84,59.52,60.28,60.8,60.84,59.52,31.70,8555292.00,2.60,2.97,4.14,16.17
1191217,2300,60.2,60.36,61.12,59.88,60.2,60.36,61.12,59.88,31.17,7582109.00,1.24,2.92,4.64,7.32
1191218,2300,59.64,60.96,61.0,59.47,59.64,60.96,61.0,59.47,32.82,7441957.00,1.53,2.79,7.22,5.33
1191219,2300,60.72,59.44,61.0,59.44,60.72,59.44,61.0,59.44,30.80,7236450.00,1.56,2.70,4.66,5.51
1191220,2300,59.24,60.16,60.16,59.04,59.24,60.16,60.16,59.04,32.91,6298558.00,1.12,2.64,5.17,5.68
1191223,2300,60.0,60.36,60.52,59.88,60.0,60.36,60.52,59.88,33.51,3782770.00,0.64,2.51,5.22,5.01
1191224,2300,60.12,59.76,60.4,59.6,60.12,59.76,60.4,59.6,32.56,2578872.00,0.80,2.45,7.38,5.92
1191226,2300,59.28,59.68,59.8,59.2,59.28,59.68,59.8,59.2,32.43,3397799.00,0.60,2.39,6.95,6.52
1191227,2300,59.44,60.92,61.56,59.4,59.44,60.92,61.56,59.4,36.71,6610189.00,2.16,2.39,8.41,7.58
1191230,2300,61.44,63.04,63.84,61.4,61.44,63.04,63.84,61.4,43.32,8565271.00,2.92,2.42,16.93,10.76
1191231,2300,63.88,60.48,64.23999999999999,60.24,63.88,60.48,64.23999999999999,60.24,38.14,8429057.00,4.00,2.44,19.89,15.08
1200102,2300,58.84,58.04,60.16,58.0,58.84,58.04,60.16,58.0,33.97,7101768.00,2.48,2.44,15.60,17.47
1200103,2300,62.68,61.16,62.96,59.8,62.68,61.16,62.96,59.8,42.61,12055149.00,4.92,2.49,15.24,16.91
1200106,2300,62.96,60.32,63.16,60.32,62.96,60.32,63.16,60.32,41.05,6524993.00,2.84,2.51,21.60,17.48
1200107,2300,60.64,60.04,61.44,59.4,60.64,60.04,61.44,59.4,40.52,7672773.00,2.04,2.51,36.43,24.42
1200108,2300,59.64,59.2,60.0,57.32,59.64,59.2,60.0,57.32,38.89,12093545.00,2.72,2.50,32.16,30.07
1200109,2300,57.52,56.72,58.08,56.68,57.52,56.72,58.08,56.68,34.49,8067984.00,2.52,2.52,19.11,29.24
1200110,2300,56.64,56.48,57.14,55.84,56.64,56.48,57.14,55.84,34.09,8231971.00,1.30,2.51,11.19,20.82
1200113,2300,55.84,55.04,56.44,54.96,55.84,55.04,56.44,54.96,31.70,7090983.00,1.52,2.46,3.01,11.10
1200114,2300,55.16,54.64,55.6,54.04,55.16,54.64,55.6,54.04,31.05,8357488.00,1.56,2.43,4.73,6.31
1200115,2300,54.64,54.48,54.84,54.04,54.64,54.48,54.84,54.04,30.78,7597763.00,0.80,2.37,3.77,3.84
1200116,2300,53.68,53.16,53.82,53.04,53.68,53.16,53.82,53.04,28.55,7165035.00,1.44,2.36,3.67,4.06
1200117,2300,53.16,53.28,54.24,53.0,53.16,53.28,54.24,53.0,29.05,8372607.00,1.24,2.35,2.57,3.34
1200121,2300,54.0,53.72,54.08,52.6,54.0,53.72,54.08,52.6,30.97,10351958.00,1.48,2.35,4.46,3.57
