Date,Time,enter
1200716,2300,0
1200717,2300,0
1200720,2300,0
1200721,2300,0
1200722,2300,0
1200723,2300,0
1200724,2300,0
1200727,2300,0
1200728,2300,0
1200729,2300,0
1200730,2300,0
1200731,2300,0
1200803,2300,0
1200804,2300,0
1200805,2300,0
1200806,2300,0
1200807,2300,0
1200810,2300,0
1200811,2300,0
1200812,2300,0
1200813,2300,0
1200814,2300,0
1200817,2300,0
1200818,2300,0
1200819,2300,0
1200820,2300,0
1200821,2300,0
1200824,2300,0
1200825,2300,0
1200826,2300,0
1200827,2300,0
1200828,2300,0
1200831,2300,0
1200901,2300,0
1200902,2300,0
1200903,2300,0
1200904,2300,0
1200908,2300,0
1200909,2300,0
1200910,2300,0
1200911,2300,0
1200914,2300,0
1200915,2300,0
1200916,2300,0
1200917,2300,0
1200918,2300,0
1200921,2300,0
1200922,2300,0
1200923,2300,0
1200924,2300,0
1200925,2300,0
1200928,2300,0
1200929,2300,0
1200930,2300,0
1201001,2300,0
1201002,2300,0
1201005,2300,0
1201006,2300,0
1201007,2300,0
1201008,2300,0
1201009,2300,0
1201012,2300,0
1201013,2300,0
1201014,2300,0
1201015,2300,0
1201016,2300,0
1201019,2300,0
1201020,2300,0
1201021,2300,0
1201022,2300,0
1201023,2300,0
1201026,2300,0
1201027,2300,0
1201028,2300,0
1201029,2300,0
1201030,2300,0
1201102,2300,0
1201103,2300,0
1201104,2300,0
1201105,2300,0
1201106,2300,0
1201109,2300,0
1201110,2300,0
1201111,2300,0
1201112,2300,0
1201113,2300,0
1201116,2300,0
1201117,2300,0
1201118,2300,0
1201119,2300,0
1201120,2300,0
1201123,2300,0
1201124,2300,0
1201125,2300,0
1201127,2300,0
1201130,2300,0
1201201,2300,0
1201202,2300,0
1201203,2300,0
1201204,2300,0
1201207,2300,0
1201208,2300,0
1201209,2300,0
1201210,2300,0
1201211,2300,0
1201214,2300,0
1201215,2300,0
1201216,2300,0
1201217,2300,0
1201218,2300,0
1201221,2300,0
1201222,2300,0
1201223,2300,0
1201224,2300,0
1201228,2300,0
1201229,2300,0
1201230,2300,0
1201231,2300,0
1210104,2300,0
1210105,2300,0
1210106,2300,0
1210107,2300,0
1210108,2300,0
1210111,2300,0
1210112,2300,0
1210113,2300,0
1210114,2300,0
1210115,2300,0
1210119,2300,0
1210120,2300,0
1210121,2300,0
1210122,2300,0
1210125,2300,0
1210126,2300,0
1210127,2300,0
1210128,2300,0
1210129,2300,0
1210201,2300,0
1210202,2300,0
1210203,2300,0
1210204,2300,0
1210205,2300,0
1210208,2300,0
1210209,2300,0
1210210,2300,0
1210211,2300,0
1210212,2300,0
1210216,2300,0
1210217,2300,0
1210218,2300,0
1210219,2300,0
1210222,2300,0
1210223,2300,0
1210224,2300,0
1210225,2300,0
1210226,2300,0
1210301,2300,0
1210302,2300,0
1210303,2300,0
1210304,2300,0
1210305,2300,0
1210308,2300,0
1210309,2300,0
1210310,2300,0
1210311,2300,0
1210312,2300,0
1210315,2300,0
1210316,2300,0
1210317,2300,0
1210318,2300,0
1210319,2300,0
1210322,2300,0
1210323,2300,0
1210324,2300,0
1210325,2300,0
1210326,2300,0
1210329,2300,0
1210330,2300,0
1210331,2300,0
1210401,2300,0
1210405,2300,0
1210406,2300,0
1210407,2300,0
1210408,2300,0
1210409,2300,0
1210412,2300,0
1210413,2300,0
1210414,2300,0
1210415,2300,0
1210416,2300,0
1210419,2300,0
1210420,2300,0
1210421,2300,0
1210422,2300,0
1210423,2300,0
1210426,2300,0
1210427,2300,0
1210428,2300,0
1210429,2300,0
1210430,2300,0
1210503,2300,0
1210504,2300,0
1210505,2300,0
1210506,2300,0
1210507,2300,0
1210510,2300,0
1210511,2300,0
1210512,2300,0
1210513,2300,0
1210514,2300,0
1210517,2300,0
1210518,2300,0
1210519,2300,0
1210520,2300,0
1210521,2300,0
1210524,2300,0
1210525,2300,0
1210526,2300,0
1210527,2300,0
1210528,2300,0
1210601,2300,0
1210602,2300,0
1210603,2300,0
1210604,2300,0
1210607,2300,0
1210608,2300,0
1210609,2300,0
1210610,2300,0
1210611,2300,0
1210614,2300,0
1210615,2300,0
1210616,2300,0
1210617,2300,0
1210618,2300,0
1210621,2300,0
1210622,2300,0
1210623,2300,0
1210624,2300,0
1210625,2300,0
1210628,2300,0
1210629,2300,0
1210630,2300,0
1210701,2300,0
1210702,2300,0
1210706,2300,0
1210707,2300,0
1210708,2300,0
1210709,2300,0
1210712,2300,0
1210713,2300,0
1210714,2300,0
1210715,2300,0
1210716,2300,0
1210719,2300,0
1210720,2300,0
1210721,2300,0
1210722,2300,0
1210723,2300,0
1210726,2300,0
1210727,2300,0
1210728,2300,0
1210729,2300,0
1210730,2300,0
1210802,2300,0
1210803,2300,0
1210804,2300,0
1210805,2300,0
1210806,2300,0
